,Brand,Original_price,Discount_price,Camera,Pixels,WiFi Connectivity,Discount,Ratings
447,Rivalwilla,"9,999","₹2,625",WiFi Camera,,Yes,73,3
448,FUJIFILM,"1,54,999","₹1,15,990",Mirrorless Camera,26,Yes,25,4.4
449,Ricoh,"69,995","₹53,999",Degree Camera,48,No,22,
450,aoksmd,"2,000",₹899,Baby CameraDigital Camera,8,No,55,3.8
451,samar,"12,999","₹1,899",WiFi Camera,,Yes,85,3.5
452,FUJIFILM,"21,999","₹16,999",,,No,22,
453,IBS,"6,999","₹2,299",,30,No,67,2.2
454,pompeo,"19,999","₹4,999",HD Camera,,No,75,2.6
455,AVOIHS,"2,000",₹876,,8,No,56,3.4
456,Canon,"1,19,995","₹91,990",Mirrorless Camera,24,Yes,23,4.7
457,Canon,"64,995","₹41,999",Mirrorless Camera,24,Yes,35,4.4
458,WINDCOMM,"3,999","₹1,619",Action CameraSport Camera,12,No,59,
459,Enfogo,"7,000","₹1,619",,16,No,76,
460,Canon,"92,995","₹73,990",Mirrorless Camera,24,Yes,20,4.7
461,Canon,"97,995","₹78,990",Mirrorless Camera,24,No,19,4.6
462,SJCAM,"4,400","₹2,699",,5,No,38,4.3
463,MUGO,"16,999","₹2,198",Dual Camera,,No,87,
464,IC,"8,000","₹3,824",Print CameraInstant CameraInstant Camera,,No,52,
465,SONY,"59,490","₹52,489",Mirrorless CameraVlog Camera,24,Yes,11,4.5
466,Canon,"94,995","₹58,990",Mirrorless Camera,26,Yes,37,4.4
467,Panasonic,"94,99","₹92,999",Mirrorless Camera,20,Yes,02,4
468,Swa,"9,850","₹3,419",,,No,65,
469,Drone,"9,999","₹2,999",,,No,70,
470,Panasonic,"89,990","₹74,990",Mirrorless Camera,16,Yes,16,4.7
471,Inferno,"12,999","₹1,999",,,No,84,3
472,SJCAM,"17,200","₹8,289",Action Camera,16,No,51,4
473,Cubonic,"2,999","₹1,999",,18,No,33,3.7
474,Elevea,"6,000","₹1,274",Waterproof Camera,12,No,78,
475,Exxelo,"6,999","₹4,599",Action CameraSport Camera,16,Yes,34,
476,Point,"5,000","₹1,189",Action Camera,12,No,76,2.1
477,Elevea,"7,000","₹1,699",,16,No,75,
478,SONY,"3,99,990","₹3,39,987",Mirrorless Camera,12,Yes,15,
479,SONY,"2,14,990","₹1,88,990",Mirrorless Camera,33,Yes,12,
